,backers_count,converted_pledged_amount,country,created_at,currency,current_currency,deadline,disable_communication,fx_rate,goal,id,is_starrable,launched_at,name,pledged,spotlight,staff_pick,state,state_changed_at,static_usd_rate,urls,usd_pledged,cat_name,cat_slug,loc_state,time_allowed,goal/time_allowed
32,11,397,Aus,2018-09-04,NZD,USD,2018-09-30,False,0.67257682,500.0,1758012971,False,2018-09-04,Kumara Music Video,600.42,True,False,successful,2018-09-30,0.66036633,"{""web"":{""project"":""https://www.kickstarter.com/projects/842333206/kumara-music-video?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/842333206/kumara-music-video/rewards""}}",396.4971518586,Music Videos,film & video/music videos,Northland,26,19.23076923076923
33,17,1077,NAmerica,2018-09-04,USD,USD,2018-10-30,False,1.0,1000.0,1380765266,False,2018-09-30,SLAINDEER: BUCK TO THE FUTURE,1077.0,True,False,successful,2018-10-30,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/slaindeer/slaindeer-buck-to-the-future?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/slaindeer/slaindeer-buck-to-the-future/rewards""}}",1077.0,Film & Video,film & video,WI,56,17.857142857142858
34,22,5575,NAmerica,2017-05-20,USD,USD,2017-06-20,False,1.0,5000.0,214612718,False,2017-05-21,Hogtown BBQ - Smoked Meats and More,5575.0,True,False,successful,2017-06-20,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/147013665/hogtown-bbq-smoked-meats-and-more?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/147013665/hogtown-bbq-smoked-meats-and-more/rewards""}}",5575.0,Restaurants,food/restaurants,FL,31,161.29032258064515
35,92,20583,NAmerica,2014-06-03,USD,USD,2014-08-05,False,1.0,12000.0,1185373421,False,2014-07-16,we're bringin PICKLE BACK.  {yeah!},20583.0,True,False,successful,2014-08-05,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/1242211742/were-bringin-pickle-back-yeah?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/1242211742/were-bringin-pickle-back-yeah/rewards""}}",20583.0,Small Batch,food/small batch,CA,63,190.47619047619048
36,4,123,Euro,2016-05-16,GBP,USD,2016-06-01,False,1.30577112,350.0,175025504,False,2016-05-17,i just want to draw pictures of kim kardashian,85.0,False,False,failed,2016-06-01,1.4360512,"{""web"":{""project"":""https://www.kickstarter.com/projects/stephaniekkane/i-just-want-to-draw-pictures-of-kim-kardashian?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/stephaniekkane/i-just-want-to-draw-pictures-of-kim-kardashian/rewards""}}",122.064352,Digital Art,art/digital art,England,16,21.875
37,69,16368,Euro,2017-09-22,GBP,USD,2018-02-21,False,1.30577112,15000.0,423018096,False,2018-01-22,"¡Hola, Paulina! - An anti-Trump Original Comedy Series",11707.0,False,False,failed,2018-02-21,1.38600139,"{""web"":{""project"":""https://www.kickstarter.com/projects/1790430181/hola-paulina-an-anti-trump-original-comedy-series?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/1790430181/hola-paulina-an-anti-trump-original-comedy-series/rewards""}}",16225.91827273,Television,film & video/television,England,152,98.6842105263158
38,3423,115052,NAmerica,2013-04-25,USD,USD,2013-06-03,False,1.0,20000.0,228390765,False,2013-04-30,Project Atma - I Fight Dragons Creates An Epic New Album,115052.89,True,True,successful,2013-06-03,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/1899688657/project-atma-i-fight-dragons-creates-an-epic-new-a?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/1899688657/project-atma-i-fight-dragons-creates-an-epic-new-a/rewards""}}",115052.89,Chiptune,music/chiptune,IL,39,512.8205128205128
39,2,30,NAmerica,2014-07-07,USD,USD,2014-09-09,False,1.0,2500.0,355754756,False,2014-07-11,Scuba Diving Photography,30.0,False,False,failed,2014-09-09,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/275317557/scuba-diving-photography?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/275317557/scuba-diving-photography/rewards""}}",30.0,Nature,photography/nature,VA,64,39.0625
40,69,4808,Euro,2019-02-28,GBP,USD,2019-04-04,False,1.30577112,3050.0,1627300447,False,2019-03-04,A Dead Canary,3650.5,True,False,successful,2019-04-04,1.32100396,"{""web"":{""project"":""https://www.kickstarter.com/projects/deadcanaryfilm/a-dead-canary?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/deadcanaryfilm/a-dead-canary/rewards""}}",4822.32495598,Narrative Film,film & video/narrative film,England,35,87.14285714285714
41,56,13380,NAmerica,2014-04-14,USD,USD,2014-05-22,False,1.0,8500.0,1578926352,False,2014-04-22,Arkins - Made in Manhattan,13380.0,True,True,successful,2014-05-22,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/1558813389/arkins-made-in-manhattan?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/1558813389/arkins-made-in-manhattan/rewards""}}",13380.0,Ready-to-wear,fashion/ready-to-wear,NY,38,223.68421052631578
42,6,1074,NAmerica,2016-07-06,USD,USD,2016-08-01,False,1.0,250.0,1618176980,False,2016-07-11,The Shaving Place,1074.0,True,False,successful,2016-08-01,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/345012571/the-shaving-place?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/345012571/the-shaving-place/rewards""}}",1074.0,DIY,crafts/diy,UT,26,9.615384615384615
43,116,26965,NAmerica,2018-11-12,USD,USD,2018-12-15,False,1.0,20000.0,166997859,False,2018-11-15,43rd Annual Atlanta Film Festival,26965.0,True,False,successful,2018-12-15,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/atlff/43rd-annual-atlanta-film-festival?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/atlff/43rd-annual-atlanta-film-festival/rewards""}}",26965.0,Digital Art,art/digital art,GA,33,606.060606060606
44,51,8168,NAmerica,2018-05-22,USD,USD,2018-06-03,False,1.0,7800.0,741286292,False,2018-05-24,Revolutionary Natural Electrolyte Gummies,8168.0,True,False,successful,2018-06-03,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/1888683238/revolutionary-natural-electrolyte-gummies?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/1888683238/revolutionary-natural-electrolyte-gummies/rewards""}}",8168.0,Vegan,food/vegan,WA,12,650.0
45,33,4140,NAmerica,2018-02-14,USD,USD,2018-05-17,False,1.0,4000.0,650976365,False,2018-04-16,"""A Fair Answer"" to ""The Cochlear Effect""",4140.0,True,False,successful,2018-05-17,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/361046552/a-fair-answer-to-the-cochlear-effect?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/361046552/a-fair-answer-to-the-cochlear-effect/rewards""}}",4140.0,Shorts,film & video/shorts,NY,92,43.47826086956522
46,44,2858,Euro,2016-06-13,GBP,USD,2016-07-30,False,1.30577112,2000.0,2077574100,False,2016-06-30,The Search Party,2161.11,True,False,successful,2016-07-30,1.33188424,"{""web"":{""project"":""https://www.kickstarter.com/projects/31718213/the-search-party?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/31718213/the-search-party/rewards""}}",2878.3483499064,Shorts,film & video/shorts,England,47,42.5531914893617
47,31,993,NAmerica,2013-05-16,USD,USD,2013-06-27,False,1.0,300.0,303082271,False,2013-05-28,Gold Metallic Portraits - Of Your Pet,993.0,True,False,successful,2013-06-27,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/1264740893/gold-metallic-portraits-of-your-pet?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/1264740893/gold-metallic-portraits-of-your-pet/rewards""}}",993.0,Crafts,crafts,CA,42,7.142857142857143
48,18,739,Euro,2016-08-23,DKK,USD,2016-10-22,False,0.15141957,20000.0,1472487446,False,2016-09-22,In search of the people behind the 2016 US Election,5050.0,False,False,failed,2016-10-22,0.14970268,"{""web"":{""project"":""https://www.kickstarter.com/projects/23784306/in-search-of-the-people-behind-the-2016-us-electio?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/23784306/in-search-of-the-people-behind-the-2016-us-electio/rewards""}}",755.998534,Photo,journalism/photo,Hovedstaden,60,333.3333333333333
49,32,1325,NAmerica,2013-08-24,USD,USD,2013-09-02,False,1.0,500.0,465455136,False,2013-08-26,BulPens: 7 days to give new meaning to whisky and bullets,1325.0,True,False,successful,2013-09-02,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/1059697036/bulpens-7-days-to-give-new-meaning-to-whisky-and-b?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/1059697036/bulpens-7-days-to-give-new-meaning-to-whisky-and-b/rewards""}}",1325.0,Crafts,crafts,IL,9,55.55555555555556
50,257,4227,NAmerica,2015-11-30,USD,USD,2015-12-20,False,1.0,1700.0,1611082146,False,2015-11-30,Erik Drinks Wine and Gets a Haircut.,4227.93,True,False,successful,2015-12-20,1.0,"{""web"":{""project"":""https://www.kickstarter.com/projects/2124645733/erik-drinks-wine-and-gets-a-haircut?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/2124645733/erik-drinks-wine-and-gets-a-haircut/rewards""}}",4227.93,Shorts,film & video/shorts,CA,20,85.0
51,15,260,Euro,2014-06-11,GBP,USD,2014-07-13,False,1.30399008,100.0,1422236769,False,2014-06-13,Runner Oblivion,152.0,True,True,successful,2014-07-13,1.67978297,"{""web"":{""project"":""https://www.kickstarter.com/projects/793212138/runner-oblivion?ref=discovery_category_newest"",""rewards"":""https://www.kickstarter.com/projects/793212138/runner-oblivion/rewards""}}",255.32701144,Video Games,games/video games,England,32,3.125
